employeeID,Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15
1,6,1,3,5,0,6,10,2,8,4,3,9,4,8,9
2,1,9,0,10,7,4,8,4,4,6,1,6,6,4,9
3,6,8,7,2,6,4,6,8,6,0,9,10,4,4,10
4,0,0,8,6,8,0,9,6,9,5,7,7,7,5,10
5,0,2,10,1,2,8,10,3,3,1,2,1,1,1,6
6,10,2,5,5,9,8,7,5,4,6,5,7,3,6,1
7,9,3,10,5,10,2,3,9,6,10,6,7,0,7,1
8,10,2,8,10,3,4,8,7,0,1,4,10,0,7,7
9,6,8,3,6,0,1,5,8,5,1,9,2,10,3,0
10,7,7,10,6,3,8,8,4,7,0,2,10,10,1,3
11,9,4,8,2,9,8,10,2,9,2,7,5,0,9,10
12,5,6,1,3,6,1,4,5,8,3,10,2,1,5,9
13,10,0,0,0,7,3,9,0,4,8,3,6,1,4,1
14,7,10,5,2,10,8,1,0,6,3,10,3,1,1,8
15,5,3,10,3,10,1,1,0,4,10,10,1,4,0,6
16,6,8,4,0,7,7,5,9,9,6,2,3,0,4,1
17,6,3,8,6,1,0,2,8,2,5,1,6,8,7,7
18,0,6,10,10,8,5,0,1,0,2,10,7,4,1,8
19,6,6,2,1,3,2,1,5,9,0,1,7,7,5,4
20,6,8,4,3,4,4,2,1,3,7,10,4,0,3,8
21,10,10,0,8,1,7,0,3,3,4,6,10,3,6,5
22,4,10,4,10,4,9,1,9,7,1,3,0,8,4,0
23,3,7,5,1,6,10,4,7,7,3,9,2,4,5,5
24,6,2,3,8,3,0,0,7,5,0,1,0,7,4,6
25,8,0,7,3,0,10,1,1,9,8,9,0,0,0,9
